freq,sectperf,unit,geo,Ano,Valor
A,TOTAL,PC_GDP,AT11,2013 ,0.89
A,TOTAL,PC_GDP,AT12,2013 ,1.6
A,TOTAL,PC_GDP,AT13,2013 ,3.54
A,TOTAL,PC_GDP,AT21,2013 ,2.83
A,TOTAL,PC_GDP,AT22,2013 ,4.85
A,TOTAL,PC_GDP,AT31,2013 ,3.14
A,TOTAL,PC_GDP,AT32,2013 ,1.49
A,TOTAL,PC_GDP,AT33,2013 ,3.12
A,TOTAL,PC_GDP,AT34,2013 ,1.64
A,TOTAL,PC_GDP,ATZZ,2013 ,0.0
A,TOTAL,PC_GDP,BE10,2013 ,1.47
A,TOTAL,PC_GDP,BE21,2013 ,2.68
A,TOTAL,PC_GDP,BE22,2013 ,1.3
A,TOTAL,PC_GDP,BE23,2013 ,2.68
A,TOTAL,PC_GDP,BE24,2013 ,3.98
A,TOTAL,PC_GDP,BE25,2013 ,1.37
A,TOTAL,PC_GDP,BE31,2013 ,8.56
A,TOTAL,PC_GDP,BE32,2013 ,1.4
A,TOTAL,PC_GDP,BE33,2013 ,1.61
A,TOTAL,PC_GDP,BE34,2013 ,0.24
A,TOTAL,PC_GDP,BE35,2013 ,0.78
A,TOTAL,PC_GDP,BEZZ,2013 ,0.0
A,TOTAL,PC_GDP,BG31,2013 ,0.18
A,TOTAL,PC_GDP,BG32,2013 ,0.15
A,TOTAL,PC_GDP,BG33,2013 ,0.33
A,TOTAL,PC_GDP,BG34,2013 ,0.16
A,TOTAL,PC_GDP,BG41,2013 ,1.1
A,TOTAL,PC_GDP,BG42,2013 ,0.21
A,TOTAL,PC_GDP,CY00,2013 ,0.48
A,TOTAL,PC_GDP,CZ01,2013 ,2.4
A,TOTAL,PC_GDP,CZ02,2013 ,2.15
A,TOTAL,PC_GDP,CZ03,2013 ,1.61
A,TOTAL,PC_GDP,CZ04,2013 ,0.37
A,TOTAL,PC_GDP,CZ05,2013 ,1.46
A,TOTAL,PC_GDP,CZ06,2013 ,2.83
A,TOTAL,PC_GDP,CZ07,2013 ,1.39
A,TOTAL,PC_GDP,CZ08,2013 ,1.15
A,TOTAL,PC_GDP,DE11,2013 ,5.89
A,TOTAL,PC_GDP,DE12,2013 ,4.3
A,TOTAL,PC_GDP,DE13,2013 ,2.64
A,TOTAL,PC_GDP,DE14,2013 ,4.65
A,TOTAL,PC_GDP,DE21,2013 ,4.35
