freq,unit,sectperf,geo,Ano,Valor
A,PC_HC,BES,AT,2013 ,17.56
A,PC_HC,BES,BA,2013 ,58.64
A,PC_HC,BES,BE,2013 ,24.93
A,PC_HC,BES,BG,2013 ,42.84
A,PC_HC,BES,CY,2013 ,31.27
A,PC_HC,BES,CZ,2013 ,13.92
A,PC_HC,BES,DE,2013 ,14.08
A,PC_HC,BES,DK,2013 ,26.6
A,PC_HC,BES,EA20,2013 ,19.58
A,PC_HC,BES,EA21,2013 ,19.67
A,PC_HC,BES,EE,2013 ,30.06
A,PC_HC,BES,EL,2013 ,26.5
A,PC_HC,BES,ES,2013 ,30.43
A,PC_HC,BES,EU27_2020,2013 ,20.04
A,PC_HC,BES,FI,2013 ,15.96
A,PC_HC,BES,FR,2013 ,19.86
A,PC_HC,BES,HR,2013 ,39.09
A,PC_HC,BES,HU,2013 ,17.89
A,PC_HC,BES,IE,2013 ,22.62
A,PC_HC,BES,IS,2013 ,33.96
A,PC_HC,BES,IT,2013 ,21.47
A,PC_HC,BES,JP,2013 ,8.1
A,PC_HC,BES,KR,2013 ,13.77
A,PC_HC,BES,LT,2013 ,31.01
A,PC_HC,BES,LU,2013 ,10.48
A,PC_HC,BES,LV,2013 ,41.72
A,PC_HC,BES,ME,2013 ,35.29
A,PC_HC,BES,MT,2013 ,26.45
A,PC_HC,BES,NL,2013 ,18.19
A,PC_HC,BES,NO,2013 ,22.67
A,PC_HC,BES,PL,2013 ,20.19
A,PC_HC,BES,PT,2013 ,35.03
A,PC_HC,BES,RO,2013 ,39.54
A,PC_HC,BES,RS,2013 ,46.42
A,PC_HC,BES,RU,2013 ,37.44
A,PC_HC,BES,SE,2013 ,23.12
A,PC_HC,BES,SI,2013 ,26.27
A,PC_HC,BES,SK,2013 ,20.15
A,PC_HC,BES,TR,2013 ,23.9
A,PC_HC,BES,UK,2013 ,20.68
A,PC_HC,GOV,AT,2013 ,45.74
A,PC_HC,GOV,BA,2013 ,29.9
A,PC_HC,GOV,BE,2013 ,36.47
A,PC_HC,GOV,BG,2013 ,56.87
A,PC_HC,GOV,CY,2013 ,51.06
A,PC_HC,GOV,CZ,2013 ,39.62
A,PC_HC,GOV,DE,2013 ,34.92
A,PC_HC,GOV,DK,2013 ,45.35
A,PC_HC,GOV,EA20,2013 ,41.53
A,PC_HC,GOV,EA21,2013 ,41.93
A,PC_HC,GOV,EE,2013 ,59.28
A,PC_HC,GOV,EL,2013 ,49.88
A,PC_HC,GOV,ES,2013 ,48.73
A,PC_HC,GOV,EU27_2020,2013 ,41.77
A,PC_HC,GOV,FI,2013 ,44.36
