País,2018,2019,2020,2021,2022
Alemanha,3.11,3.17,3.13,3.13,3.13
Áustria,3.06,3.1,3.2,3.22,3.2
Bélgica,2.87,3.11,3.38,3.43,3.41
Bulgária,0.76,0.83,0.85,0.77,0.77
Chipre,0.51,0.63,0.82,0.83,0.77
Croácia,0.97,1.07,1.25,1.27,1.24
Dinamarca,2.97,2.91,2.96,2.81,2.91
Eslováquia,0.84,0.83,0.91,0.92,0.92
Eslovénia,2.0,2.01,2.11,2.13,2.11
Espanha,1.24,1.25,1.41,1.43,1.44
Estónia,1.4,1.59,1.79,1.75,1.75
Finlândia,2.74,2.77,2.91,2.99,2.99
França,2.18,2.17,2.3,2.21,2.22
Grécia,1.21,1.28,1.5,1.46,1.45
Hungria,1.48,1.47,1.61,1.65,1.61
Irlanda,1.15,1.23,1.23,1.1,1.23
Itália,1.43,1.47,1.53,1.48,1.45
Letónia,0.64,0.64,0.71,0.74,0.75
Lituânia,0.95,1.0,1.16,1.11,1.11
Luxemburgo,1.04,1.08,1.12,1.05,1.02
Malta,0.58,0.61,0.67,0.65,0.65
Países Baixos,2.05,2.1,2.25,2.27,2.3
Polónia,1.21,1.32,1.39,1.44,1.46
Portugal,1.32,1.4,1.62,1.69,1.7
Chéquia,1.89,1.93,1.99,2.0,2.0
Roménia,0.5,0.48,0.47,0.47,0.48
Suécia,3.31,3.38,3.49,3.42,3.4
Média UE27,2.18,2.23,2.31,2.27,2.24
