DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2006,6.12,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2007,6.23,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2009,5.37,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2011,5.67,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2013,5.5,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2015,6.23,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2017,6.68,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2019,7.88,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2021,7.63,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,AT,2023,8.37,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BA,2019,0,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BA,2020,0,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BA,2021,0,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BE,2008,3.34,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BE,2009,3.19,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BE,2010,3.4,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BE,2011,3.31,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BE,2012,2.09,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BE,2013,2.04,,
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BE,2014,,,C
ESTAT:ISOC_BDE15AR2(1.0),18/03/26 23:00:00,A,PC,C261,BE,2015,,,C
