freq,sectperf,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,PC_GDP,AT11	0.89 b	: 	0.99 	: 	0.85 	: 	0.87 	: 	0.84 	: 	0.75 	: 
A,TOTAL,PC_GDP,AT12	1.6 b	: 	1.74 	: 	1.8 	: 	1.8 	: 	1.78 	: 	1.79 	: 
A,TOTAL,PC_GDP,AT13	3.54 b	: 	3.63 	: 	3.6 	: 	3.67 	: 	4.04 	: 	3.91 	: 
A,TOTAL,PC_GDP,AT21	2.83 b	: 	3.13 	: 	2.93 	: 	3.23 	: 	2.98 	: 	3.19 	: 
A,TOTAL,PC_GDP,AT22	4.85 b	: 	5.11 	: 	4.88 	: 	5.14 	: 	5.17 	: 	5.32 	: 
A,TOTAL,PC_GDP,AT31	3.14 b	: 	3.15 	: 	3.48 	: 	3.51 	: 	3.58 	: 	3.54 	: 
A,TOTAL,PC_GDP,AT32	1.49 b	: 	1.5 	: 	1.6 	: 	1.7 	: 	1.75 	: 	1.61 	: 
A,TOTAL,PC_GDP,AT33	3.12 b	: 	3.09 	: 	2.9 	: 	2.84 	: 	3.21 	: 	2.91 	: 
A,TOTAL,PC_GDP,AT34	1.64 b	: 	1.77 	: 	1.77 	: 	1.82 	: 	1.86 	: 	1.93 	: 
A,TOTAL,PC_GDP,ATZZ	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,BE10	1.47 	1.62 	1.7 	1.9 	2.04 	2.25 	2.33 	: @C	2.49 	2.34 	2.45 	: 
A,TOTAL,PC_GDP,BE21	2.68 	3.02 	3.12 	3.24 	3.45 	: @C	: @C	: @C	: @C	4.12 	4.08 	: 
A,TOTAL,PC_GDP,BE22	1.3 	1.32 	1.36 	1.49 	1.58 	: @C	: @C	: @C	: @C	1.81 	1.91 	: 
A,TOTAL,PC_GDP,BE23	2.68 	2.5 	2.49 	2.73 	2.7 	: @C	: @C	: @C	: @C	3.46 	3.4 	: 
A,TOTAL,PC_GDP,BE24	3.98 	4.16 	4.22 	4 	4.21 	: @C	: @C	: @C	: @C	5.22 	5.17 	: 
A,TOTAL,PC_GDP,BE25	1.37 	1.06 	1.12 	1.2 	1.33 	: @C	: @C	: @C	: @C	1.65 	1.72 	: 
A,TOTAL,PC_GDP,BE31	8.56 	6.61 	6.33 	7.4 	7.73 	: @C	: @C	: @C	: @C	9.27 	8.68 	: 
A,TOTAL,PC_GDP,BE32	1.4 	1.63 	1.62 	1.27 	1.45 	: @C	: @C	: @C	: @C	1.57 	1.58 	: 
A,TOTAL,PC_GDP,BE33	1.61 	1.86 	2.08 	2.08 	2.19 	: @C	: @C	: @C	: @C	2.2 	2.52 	: 
A,TOTAL,PC_GDP,BE34	0.24 	0.72 	0.81 	0.27 	0.28 	: @C	: @C	: @C	: @C	0.16 	0.57 	: 
A,TOTAL,PC_GDP,BE35	0.78 	1.23 	1.25 	0.95 	1.02 	: @C	: @C	: @C	: @C	1.06 	1.09 	: 
A,TOTAL,PC_GDP,BEZZ	0 	0 	0 	: 	: 	0 	0 	0 	0 	: 	: 	: 
A,TOTAL,PC_GDP,BG31	0.18 	0.2 	0.55 	0.47 	0.45 	0.49 	0.41 	0.39 	0.36 	0.34 	0.26 	: 
A,TOTAL,PC_GDP,BG32	0.15 	0.15 	0.52 	0.41 	0.38 	0.32 	0.34 	0.35 	0.31 	0.33 	0.34 	: 
A,TOTAL,PC_GDP,BG33	0.33 	0.36 	0.37 	0.51 	0.48 	0.43 	0.51 	0.38 	0.35 	0.4 	0.39 	: 
