freq,unit,sectperf,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HC,BES,AT	17.56 	: 	17.09 	: 	17.66 	: 	17.7 	: 	18.72 	: 	19.42 	: 
A,PC_HC,BES,BA	58.64 	54.05 	: 	: 	: 	: 	54.31 	51.55 	47.43 	: 	: 	: 
A,PC_HC,BES,BE	24.93 	: 	27.15 	: 	28.65 	: 	25 	: 	27.66 b	: 	28.84 	: 
A,PC_HC,BES,BG	42.84 	39.58 	37.54 	39.26 	36 	34.41 	35.59 	35.23 	37.63 	35.81 	36.95 	: 
A,PC_HC,BES,CH	: 	: 	23.33 	: 	27.01 	: 	25.67 	: 	29.39 	: 	26.21 	: 
A,PC_HC,BES,CY	31.27 	32.92 	32.41 	29 	30.52 	29.68 	28.9 	29.54 	32.36 	: 	32.79 	: 
A,PC_HC,BES,CZ	13.92 	13.85 	12.81 	12.61 	12.47 	12.48 	13.17 	13.72 	14.12 	15.14 	15.49 d	15.79 dp
A,PC_HC,BES,DE	14.08 	: 	14.72 	: 	14.71 	: 	14.84 	: 	15.63 	: 	16.57 b	: 
A,PC_HC,BES,DK	26.6 	: 	24.47 	: 	27.61 	: 	25.55 p	: 	: 	: 	28.04 	: 
A,PC_HC,BES,EA20	19.58 e	: 	20.01 e	: 	20.57 e	: 	21.08 e	: 	22.14 e	: 	22.82 e	: 
A,PC_HC,BES,EA21	19.67 e	: 	20.14 e	: 	20.7 e	: 	21.21 e	: 	22.26 e	: 	22.93 e	: 
A,PC_HC,BES,EE	30.06 	29.89 	27.95 	26.6 	25.14 	27.96 	27.05 	26.8 	24.95 	22.31 	26.37 	: 
A,PC_HC,BES,EL	26.5 	: 	27.61 	: 	29.28 	: 	31.18 	31.61 	28.98 	31.44 	30.26 	: 
A,PC_HC,BES,ES	30.43 	30.62 	30.67 	30.45 	30.92 	30.96 	31.61 	31.24 	31.06 	30.59 	31.05 	: 
A,PC_HC,BES,EU27_2020	20.04 e	: 	20.22 e	: 	21.04 e	: 	21.42 e	: 	22.46 e	: 	23.09 e	: 
A,PC_HC,BES,FI	15.96 	16.59 	17.33 	17.61 	17.39 	18.12 	18.26 	18.37 	18.26 d	18.4 d	18.93 	: 
A,PC_HC,BES,FR	19.86 	20 	: 	20.47 	21.32 p	: 	: 	22.4 	22.86 	22.6 	23.58 	: 
A,PC_HC,BES,HR	39.09 	42.19 	42.15 	36.4 	35.58 	35.61 	32.1 	31.99 	30.52 	32.34 	31.62 	: 
A,PC_HC,BES,HU	17.89 	17.67 	18.08 	17.73 	17.79 	17.68 b	17.61 	17.27 	18.46 	18.45 	18.66 	: 
A,PC_HC,BES,IE	22.62 	: 	24.06 	: 	25.33 	: 	27.33 	: 	24.49 	: 	28.76 	: 
A,PC_HC,BES,IS	33.96 b	: 	: 	: 	35.82 u	35.82 u	: 	: 	35.28 	34.82 u	43.4 	: 
A,PC_HC,BES,IT	21.47 	22.33 	23.06 	22.3 b	21.53 	21.79 	22.57 	23.23 	24.4 	24.4 	25.17 	: 
A,PC_HC,BES,JP	8.1 d	8.13 d	8.56 d	9.06 d	9.61 d	9.99 d	10.19 d	10.95 d	11.56 d	12.22 d	12.15 d	: 
A,PC_HC,BES,KR	13.77 	14.2 	14.85 	15.5 	15.95 	16.29 	16.92 	17.47 	18.44 	19.19 	19.85 	: 
A,PC_HC,BES,LT	31.01 	32.17 	29.25 	33.6 	30.57 	29.29 	34.13 	29.17 	29.51 	31.08 	28.64 	: 
A,PC_HC,BES,LU	10.48 	: 	11.89 	: 	15.74 	: 	13.41 	: 	14.49 	: 	18.49 	: 
A,PC_HC,BES,LV	41.72 	: 	40.65 	38.07 	41.48 	37.86 	37.09 	36.52 	32.98 	34.89 	34.69 	: 
A,PC_HC,BES,ME	35.29 	36.59 	36.44 d	: 	32.76 	35.29 	41.77 	: 	: 	: 	: 	: 
A,PC_HC,BES,MK	: 	: 	57.22 	60.7 	61.18 	58.3 	57.3 	55.24 	: 	60.78 	: 	: 
A,PC_HC,BES,MT	26.45 	23.04 	20.97 	22.26 	24.87 	25.75 	28.19 	25.27 	23.08 	23.45 	25.44 	: 
A,PC_HC,BES,NL	18.19 b	18.62 	18.8 	20.08 	20.32 	21.27 	22.25 	22.64 	24.21 	24.49 b	24.18 	: 
A,PC_HC,BES,NO	22.67 u	23.52 u	22.81 	23.12 	23.91 	24.3 	23.43 	23.47 	22.85 bd	22.85 d	23.45 d	: 
A,PC_HC,BES,PL	20.19 	19.47 	20.28 	22.65 	24.67 	23.82 	23.73 	23.22 	24.1 	23.8 	24.13 	: 
