Data de Referência;Ano e Mes;Código Tipo Ponto Interação;Descrição Tipo Ponto Interação;Código Meio de Interação;Descrição Meio de Interação;Código do Serviço;Descrição do Serviço;Código Ponto Atendimento;Descrição Ponto Atendiemnto;Processos Iniciados
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;40
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;2
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;2
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;5
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;15
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;6175
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;558
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;45
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;16
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;87
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;23
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;29
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;35
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;17
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;34
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;16312
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;1675
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;3
2026-02-03;202409;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;2
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;1412
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;62
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;7
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;13
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;3
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;3
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;6
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;3
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;6948
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;536
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;73
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;18
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;110
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011992;Consultar os pontos da carta de condução;;;17
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;37
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002460;Exercer a atividade de feirante;;;17
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;28
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000013625;Pedir Certidão – Deferimento Tácito;;;5
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000015297;Pedir Cheque Nutricionista;;;1
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000015298;Pedir Cheque Psicólogo;;;1
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;16153
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000605;Pedir o certificado de registo criminal de pessoas singulares;;;1303
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;6
2026-02-03;202509;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;5
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;1076
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000009417;Alterar os dados associados à Chave Móvel Digital;;;66
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;12
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002951;Comunicar a realização de liquidações;;;44
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002953;Comunicar a realização de saldos;;;1
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000003173;Comunicar a venda especial esporádica;;;16
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;4211
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000544;Confirmar a alteração da morada no Cartão de Cidadão;;;573
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;38
2026-02-03;202410;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000011993;Consultar o histórico de contraordenações;;;18
