Project ID;Project acronym;Status;Title;Project URL;Project URL 2;Description;Start date;End date;Organisation name;Organisation name ENG;Organisation ID;Vat Number organisation;Organisation country;Geographical coordinates Organisation;Organization URL;Programme;Key Action;Call;Role of University;Total cost of project;EU Contribution;EcContribution per partner;Number of Participants
622121-EPP-1-2020-1-IT-SPO-SCP;SPADS;Closed;Sports activities for people with down's syndrome;;https://erasmus-plus.ec.europa.eu/projects/search/details/622121-EPP-1-2020-1-IT-SPO-SCP;"Sports Activities for people with Down’s Syndrome (SPADS) is a ""Collaborative Partnerships"" project which has the main objective of promoting social inclusion and equal opportunities in sport, through greater participation in sports activities by people with Down’s Syndrome (DS). It involves 8 partners from 5 European countries: Italy, Romania, Spain, Hungary, United Kingdom.";1-1-2021;31-12-2022;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Sport;2020;Partner;;399.860,00;;7
892077;RENEWABLE-HIGH-SEAS;Closed;RENEWABLE-HIGH-SEAS: Marine renewable energies in areas beyond national jurisdiction: legal answers to new environmental and governing challenges;https://www.renewable-high-seas.com/;https://cordis.europa.eu/project/id/892077;About 64 % of our oceans are marine areas beyond national jurisdiction (ABNJ). The use of marine renewable energy (MRE) in these areas can promote energy security and competitiveness and help combat climate change. However, MRE expansion into marine ABNJ can involve new risks and threats to security and biodiversity. The EU-funded RENEWABLE-HIGH-SEAS project aims to enhance the sustainable development of MRE in ABNJ in Europe and worldwide. To this end, it will analyse global and European regional regulatory frameworks in terms of MRE development and environmental protection related to their development in ABNJ. It will also investigate new forms of governance through global energy agencies. The project will help advance and strengthen renewable energy and related environmental governance in ABNJ.;1-1-2021;22-4-2023;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;H2020-EU.1.3. - EXCELLENT SCIENCE - Marie Skłodowska-Curie Actions;MSCA-IF - Marie Skłodowska-Curie Individual Fellowships (IF);H2020-MSCA-IF-2019;Individual Project;172.932,48;172.932,48;;1
626 139-EPP-1-2020-2-DE-EPPKA3-PI-POLICY;3C4Life;Closed;Perspectives for Lifelong STEM Teaching - Career Guidance, Collaborative Practice and Competence Development ;https://icse.eu/international-projects/3c4life/;https://erasmus-plus.ec.europa.eu/projects/search/details/626139-EPP-1-2020-2-DE-EPPKA3-PI-POLICY;"Teachers need to update their teaching skills, competences, operate digitally, and act self-efficiently. However, top performance requires top conditions. 3C4life gathers 12 partners from 6 European countries, in each country an educational authority teaming up with a research partner. This powerful tandem structure tackles a fallow issue, which impedes top conditions in STEM education across Europe: STEM education systems lack the capacity to support teachers to make the best of their life as teachers.

Our objective is to change that. Our measure is an all-digital STEM teacher platform with an innovative occupational advancement concept.";28-2-2021;27-2-2024;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Key Action 3 - Support for policy reform - Initiatives for policy innovation;EACEA 38/2019;Partner;1.999.986,00;;;12
101029190;SPOTplasma;Closed;Flexible Tube Micro Plasma (FuTP) for Dried Blood Spot (DBS) analysis;http://spotplasma.es/;https://cordis.europa.eu/project/id/101029190;Newborn screening (NBS) identifies treatable conditions that can impact a child’s health and survival. Many countries follow this strategy as a means of prevention or early treatment. The EU-funded SPOTplasma project proposes to develop novel methodologies that allow for more efficient, cheaper and faster ways to perform NBS. The team is interested in developing both mass spectrometry and ion mobility spectrometry-based approaches for low-cost, readily available instrumentation even for countries with limited access to the NBS required infrastructure. The project will promote dried blood spots as a sample of choice as they are an easy way of collecting, shipping and storing blood samples.;1-5-2021;30-4-2023;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;H2020-EU.1.3. - EXCELLENT SCIENCE - Marie Skłodowska-Curie Actions;MSCA-IF - Marie Skłodowska-Curie Individual Fellowships (IF);H2020-MSCA-IF-2020;Individual Project;172.932,48;172.932,48;;1
2021-1-ES01-KA131-HED-000003827;;Closed;Mobility of higher education students and staff supported by internal policy funds (KA131-HED) - Coordinator: UNIVERSIDAD DE JAEN;;https://erasmus-plus.ec.europa.eu/projects/search/details/2021-1-ES01-KA131-HED-000003827;This action supports physical and blended mobility of higher education students and staff from EU Member States and third countries associated to Erasmus+ to any country in the world. Students in all study fields and cycles can take part in a study period or traineeship abroad. Higher education teaching and administrative staff can take part in professional development activities abroad, as well as staff from the field of work in order to teach and train students or staff at higher education institutions.;1-9-2021;31-10-2023;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Learning Mobility of Individuals;ErasmusPlus_KA1_2021;Coordinator;;1.237.426,00;;1
101029930;SMART-AGRI-SPORE;Closed;Fighting the X. fastidiosa threat to EU agriculture - Novel smart biopesticides based on bacterial spores;;http://cordis.europa.eu/project/id/101029930;Olive groves and other plants and fruits are at risk from the highly destructive invasive plant pathogen Xylella fastidiosa. However, no field treatment is currently available to protect crops against this threat. The EU-funded SMART-AGRI-SPORE project will help fight the pathogen by developing a novel, smart biopesticide based on bacterial spores, which specifically targets X. fastidiosa in infected trees and insect vectors. For the first time in an agricultural setting, researchers will engineer Bacillus spores to act as a biopesticide delivery vehicle. The spores will be screened for novel antimicrobial peptides efficiently targeting X. fastidiosa and engineered to express and store these active agents in the core or coat before being released into the environment.;1-9-2021;31-8-2024;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;H2020-EU.1.3. - EXCELLENT SCIENCE - Marie Skłodowska-Curie Actions;MSCA-IF - Marie Skłodowska-Curie Individual Fellowships (IF);H2020-MSCA-IF-2020;Individual Project;259.398,72;259.398,72;;1
2021-1-CZ01-KA220-HED-000032178;SABIO;Closed;Supporting Academics to Become INTERNATIONAL EDUCATORS through Professional Learning Communities;https://sabio.upol.cz/;https://erasmus-plus.ec.europa.eu/projects/search/details/2021-1-CZ01-KA220-HED-000032178;The project aims to enhance excellence of teaching and learning at Higher Education Institutions (HEIs) by supporting and training academics to upskill and innovate their pedagogies to address the needs of students, to create inclusive international classrooms, and to embrace a new complex role as International Educators who are prepared to equip all students with global competences and harness the diversity in their classroom. The project will achieve this by introducing, piloting and disseminating a novel format of professional development: Professional Learning Communities (PLCs).;1-11-2021;31-10-2024;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Partnerships for cooperation and exchanges of practices;ErasmusPlus_KA2_2021;Partner;;398.871,00;;6
101049610;FreeAll;Closed;Free All - inclusive services for All LGBTIQ people;https://freeall.oxfam.it/en/project/;https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43251589/101049610;The COVID-19 pandemic has deepened societal inequalities, severely affecting LGBTQIA+ people and increasing social exclusion and violence. In response, the FreeAll project aimed to enhance support for LGBTQIA+ survivors of gender-based violence (GBV) in line with the EU LGBTQIA+ Equality Strategy 2020-2025. The project focused on improving health, education, legal, and social services for safe access of LGBTQIA+ people. It started with a detailed report on existing services and held networking meetings to identify best practices and service gaps. LGBTQIA+ associations and an Advisory Board were actively involved to ensure the project met community needs. Training programs were conducted for frontline workers and educators, enhancing their ability to support GBV survivors. Pilot interventions provided emergency responses and awareness activities, reaching over 300 people survivors and at risk of violence and fostering community support and acceptance of LGBTQIA+ rights. A joint event brought together various professionals to raise awareness about LGBTQIA+ GBV issues. The project's findings and training outcomes were compiled into a Manifesto of Intent, advocating for policy changes and improved services. The FreeAll project developed a model for inclusive protection services at the national and European levels, concluding with an international workshop to share results and recommendations. Overall, the project successfully addressed urgent needs, promoting inclusivity, collaboration, and community engagement across Europe.;1-2-2022;31-1-2024;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Citizens, Equality, Rights and Values Programme (CERV);;CERV-2021-DAPHNE;Partner;551.347,46;496.212,68;;7
2022-1-ES01-KA131-HED-000053198;;Closed;Mobility of higher education students and staff supported by internal policy funds (KA131-HED) - Coordinator: UNIVERSIDAD DE JAEN;;https://erasmus-plus.ec.europa.eu/projects/search/details/2022-1-ES01-KA131-HED-000053198;This action supports physical and blended mobility of higher education students and staff from EU Member States and third countries associated to Erasmus+ to any country in the world. Students in all study fields and cycles can take part in a study period or traineeship abroad. Higher education teaching and administrative staff can take part in professional development activities abroad, as well as staff from the field of work in order to teach and train students or staff at higher education institutions.;1-6-2022;31-7-2024;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Learning Mobility of Individuals;ErasmusPlus_KA1_2022;Coordinator;;1.294.723,38;;1
101052670;proSTEM;Closed;ICSE Academy - European collaboration and mobility in professional development of pre- and in-service STEM teachers;https://icse.eu/icse-academy/;https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43353764/101052670/ERASMUS2027;The ICSE Academy supports the EU’s endeavours to minimize the amount of low-performing STEM (science, maths, technology, engineering) learners. It does so by investing in a new era of a high-quality STEM teacher workforce by innovating based on existing best practices teacher education and transnational exchange strategies. This approach draws on mobility and collaboration as an integral part, thereby supporting young and established STEM teachers across Europe.;1-6-2022;31-5-2025;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Partnerships for cooperation and exchanges of practices;ERASMUS-EDU-2021-PEX-TEACH-ACA;Partner;1.869.159,46;1.495.323,00;;38
